First,Last,Relation,Age,Male,Prior Exp,Race,Finish,Finish Day,Redemption,Redemption day,Votes Against,Jury,Season
Rupert,Boneham,10,49,1,3,White,switch,1,1,4,0,,27
Colton,Cumbie,13,22,1,1,White,quit,7,,,0,,27
Rachel,Foulger,21,33,0,0,White,4,6,2,7,5,,27
Marissa,Peterson,19,21,0,0,Black,3,3,3,9,10,,27
Candice,Cody,9,30,0,2,White,2,1,4,11,6,,27
Brad,Culpepper,20,44,1,0,White,6,10,5,14,7,,27
Kat,Edorsson,15,23,0,1,White,8,16,6,17,5,,27
John,Cody,6,30,1,0,White,5,8,7,19,8,,27
Laura,Boneham,2,44,1,0,White,1,1,8,19,11,,27
Aras,Baskauskas,12,31,1,1,White,10,21,9,25,7,1,27
Vytas,Vaskauskas,11,33,1,0,White,11,22,10,27,10,2,27
Caleb,Bankston,3,25,1,0,White,14,29,11,30,4,3,27
Katie,Collins,18,25,0,0,White,elim,32,12,33,4,4,27
Hayden,Moss,8,26,1,0,White,15,35,13,36,8,5,27
Laura,Morett,17,43,0,1,White,7,13,14,36,19,6,27
Cierra,Eastin,16,24,0,0,White,16,37,,,14,7,27
Tina,Wesson,14,52,0,2,White,17,38,return,36,10,8,27
Gervase,Peterson,5,43,1,1,Black,18,,,,6,,27
Monica,Culpepper,7,42,0,1,White,19,,,,6,,27
Tyson,Apostol,4,33,1,2,White,20,,,,2,,27
David,Samson,,45,1,0,White,1,3,,,4,,28
Garret,Adelstein,,27,1,0,White,2,6,,,3,,28
Brice,Johnston,,27,1,0,Black,3,8,,,5,,28
J'Tia,Taylor,,31,0,0,Black,4,11,,,7,,28
Cliff,Robinson,,46,1,0,Black,5,14,,,4,,28
Lindsey,Ogle,,29,0,0,White,quit,14,,,0,,28
Alexis,Maxwell,,21,0,0,White,6,16,,,8,,28
Sarah,Lacina,,29,0,0,White,7,19,,,6,1,28
Morgan,McLeod,,21,0,0,White,8,22,,,8,2,28
LJ,McKansas,,34,1,0,White,9,25,,,8,3,28
Jeremiah,Wood,,34,1,0,White,10,28,,,9,4,28
Jefra,Bland,,22,0,0,White,11,30,,,9,5,28
Tasha,Fox,,37,0,0,Black,12,33,,,4,6,28
Trish,Hegarty,,48,0,0,White,13,36,,,5,7,28
Spencer,Bledsoe,,21,1,0,White,14,37,,,8,8,28
Kass,McQuillen,,41,0,0,White,15,38,,,2,9,28
Woo,Hwang,,29,1,0,Asian,16,,,,4,,28
Tony,Vlachos,,39,1,0,White,17,,,,5,,28
Francesca,Hogi,,38,,1,black,1,3,,,6,,26
Allie,Pohevitz,,25,,,white,2,5,,,6,,
Hope,Driskill,,23,,,white,3,7,,,8,,
Shamar,Thomas,,27,1,,Black,evac,10,,,8,,
Laura,Alexander,,23,,,white,4,10,,,6,,
Brandon,Hantz,,20,1,1,hispanic,5,13,,,8,,
Matt,Bischoff,,38,1,,White,6,16,,,4,,
Julia,Landauer,,21,,,White,7,19,,,9,,
Corinne,Kaplan,,33,,1,White,8,22,,,7,,
Michael,Snow,,44,1,,White,9,25,,,10,1,
Phillip,Sheppard,,54,1,1,Black,10,28,,,5,2,
Malcolm,Freberg,,25,1,1,White,11,30,,,11,3,
Reynold,Toepfer,,30,1,,White,12,31,,,9,4,
Andrea,Boehlke,,23,,1,White,13,33,,,13,5,
Brenda,Lowe,,29,,1,Asian,14,36,,,5,6,
Erik,Reichenbach,,27,1,1,White,evac,36,,,2,7,
Eddie,Fox,,23,1,,White,15,38,,,16,8,
Dawn,Meehan,,42,,1,White,16,,,,2,,
Sherri,Biethman,,41,,,White,17,,,,6,,
John,Cochran,,25,1,1,White,18,,,,0,,
